nfi_plot,loc_id,VARIABLE,AFTER_EVENT_TYPE,VALUE_BEFORE,VALUE_AFTER
1520716,0,Lg Dead Tree,NO DIST NO TREAT,0,9.98
1032316,0,Lg Dead Tree,NO DIST NO TREAT,0,10.99
1369431,0,Lg Dead Tree,NO DIST NO TREAT,0,15.65
1197591,0,Lg Dead Tree,NO DIST NO TREAT,0,19.76
1225711,0,Lg Dead Tree,NO DIST NO TREAT,0,44.15
1383116,0,Lg Dead Tree,NO DIST NO TREAT,0,74.08
1500241,0,Odd WD,NO DIST NO TREAT,0,46.2
1458736,0,Odd WD,NO DIST NO TREAT,0,63.37
1321711,0,Sm Dead Tree,NO DIST NO TREAT,0,8.3
1246036,0,Sm Dead Tree,NO DIST NO TREAT,0,11.55
1308261,0,Odd WD,NO DIST NO TREAT,74.2,0
1273911,0,Odd WD,NO DIST NO TREAT,94.8,0
950721,0,Odd WD,NO DIST NO TREAT,152.62,0
1046006,0,Odd WD,NO DIST NO TREAT,274.14,0
1170181,0,Sm Dead Tree,NO DIST NO TREAT,13.99,0
1458736,0,Sm Dead Tree,NO DIST NO TREAT,17.22,0
